tree	time	x	y	r_stem	h_stem	r_crown	r_root	xylem_resistance	root_surface_resistance	ag_resources	bg_resources	growth	psi_zero	salinity
Initial_000000001	0.0	5.0	5.0	0.005	0.05	0.2	0.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Initial_000000001	3456000.0	5.0	5.0	0.0050000000001855695	0.06610669187162174	0.20000000000029605	0.20388682577067035	74136400668624.22	146413491659715.28	0.00271433605270725	0.0013161388406254008	5.318760304533992e-06	-7855427.493352734	0.0799995970012789
Initial_000000001	6912000.0	5.0	5.0	0.005000000001622635	0.08228001541983553	0.20000000000075652	0.20775613021713288	76450050435476.73	140978947279788.8	0.0027143360527184836	0.001334829700992499	5.389202619606804e-06	-7855268.833048716	0.07999959554397977
Initial_000000001	10368000.0	5.0	5.0	0.005000000012625421	0.09849739029889885	0.20000000000144535	0.21160366523155127	78767978199112.47	135868206558706.1	0.00271433605273545	0.0013519945619273536	5.452253322189358e-06	-7855109.740601139	0.07999959464178227
Initial_000000001	13824000.0	5.0	5.0	0.00500000009539476	0.11473723725936581	0.20000000000243753	0.2154255075778792	81087161811686.16	131060656142132.03	0.002714336052760119	0.0013676461679034294	5.507996314277196e-06	-7854950.427702438	0.07999959426840769
Initial_000000001	17280000.0	5.0	5.0	0.005000000703663921	0.13097910516926398	0.20000000000381543	0.21921806914585784	83404734480806.77	126536767890489.55	0.002714336052794687	0.0013818102838140613	5.556576337279479e-06	-7854791.094978214	0.07999959439471521
Initial_000000001	20736000.0	5.0	5.0	0.005000005048231781	0.14720376104087282	0.2000000000056632	0.22297809336239074	85717946046150.5	122278095444042.34	0.0027143360528414434	0.0013945243159504007	5.598192301629227e-06	-7854631.931104078	0.07999959498973576
Initial_000000001	24192000.0	5.0	5.0	0.005000035066756814	0.1633932101133846	0.20000000000805984	0.2267025958667217	88023807443296.06	118267293795940.94	0.0027143360529025863	0.001405837815541839	5.63309948040471e-06	-7854473.112608629	0.0799995960231753
Initial_000000001	27648000.0	5.0	5.0	0.005000234709463624	0.1795304318198202	0.2000000000110724	0.23038847777749075	90316648004552.5	114488324144338.7	0.0027143360529800287	0.0014158262433355644	5.661673979055505e-06	-7854314.80646363	0.07999959747728143
Initial_000000001	31104000.0	5.0	5.0	0.005001499733392293	0.1955975512455252	0.20000000001475512	0.2340301818005043	92572541621098.44	110927783392392.16	0.002714336053075308	0.0014246898801516517	5.684876893009525e-06	-7854157.188021992	0.07999959941345974
Initial_000000001	34560000.0	5.0	5.0	0.005008818055445583	0.2115658766167742	0.2000000000191893	0.23760729608672496	94660284139352.84	107582108239613.14	0.0027143360531901735	0.0014333379386499727	5.706995653373929e-06	-7854000.538750013	0.07999960230217024
Initial_000000001	38016000.0	5.0	5.0	0.0050412699295852735	0.22736032408459408	0.20000000002475393	0.24104866301414246	95999463769058.58	104482690806704.95	0.0027143360533313635	0.0014457093883041927	5.746530903583726e-06	-7853845.5952202445	0.07999960778373348
Initial_000000001	41472000.0	5.0	5.0	0.005120879486395786	0.24284572606125784	0.20000000003317148	0.24428548319393398	95566837862950.55	101682590416749.42	0.002714336053532273	0.00146919013736858	5.8380959717522355e-06	-7853693.683426688	0.07999961665361931
Initial_000000001	44928000.0	5.0	5.0	0.005229477942021127	0.2579467187044599	0.20000000004930663	0.24741830303499612	93749107988820.16	99105492293124.25	0.0027143360538989117	0.0015024578601011641	5.9752973345573545e-06	-7853545.542688542	0.07999962638581161
Initial_000000001	48384000.0	5.0	5.0	0.0053456103425689365	0.2726654991599401	0.20000000008359467	0.25054862243416376	91574200223967.06	96639848810997.58	0.00271433605466684	0.0015392896945044911	6.128778495988996e-06	-7853401.151451601	0.07999963577099847
Initial_000000001	51840000.0	5.0	5.0	0.005463414956851858	0.2870200841552427	0.20000000015828764	0.25370454708554846	89382840650860.03	94248570188368.97	0.002714336056334116	0.001577491432245178	6.288190575037294e-06	-7853260.332971332	0.07999964468700074
Initial_000000001	55296000.0	5.0	5.0	0.00558188418269924	0.3010288436834616	0.20000000032214663	0.25689142953616123	87236101512885.61	91923195408801.89	0.0027143360599872044	0.0016166560074357787	6.451604347687872e-06	-7853122.9070371445	0.07999965315528863
Initial_000000001	58752000.0	5.0	5.0	0.005700896366712924	0.3147088377152437	0.2000000006829716	0.26011035129565724	85142808756372.47	89660772891608.64	0.002714336068024754	0.0016567270843606638	6.618742516850445e-06	-7852988.706288613	0.07999966121111754
Initial_000000001	62208000.0	5.0	5.0	0.005820477018926534	0.32807573810539126	0.20000000147992186	0.26336164264619066	83103246089412.73	87459329019138.1	0.002714336085764498	0.001697708641071223	6.7896116835964004e-06	-7852857.57698015	0.07999966888819103
Initial_000000001	65664000.0	5.0	5.0	0.005940673534494842	0.34114395115432483	0.20000000324486006	0.26664549779457414	81116306294626.78	85317100620252.95	0.0027143361250259023	0.0017396153072420303	6.964268406841447e-06	-7852729.377775512	0.07999967621676293
Initial_000000001	69120000.0	5.0	5.0	0.0060615339305754206	0.35392675430604253	0.2000000071629806	0.26996208418522216	79180669750491.27	83232402977951.73	0.00271433621213467	0.001782463817978357	7.1427789414957415e-06	-7852603.97839972	0.07999968322374754
Initial_000000001	72576000.0	5.0	5.0	0.006183103421670898	0.36643641922823544	0.20000001587998567	0.27331156214505253	77295005366458.06	81203605599477.9	0.002714336405833168	0.001826271487618748	7.325212045819667e-06	-7852481.258415806	0.0799996899330862
Initial_000000001	76032000.0	5.0	5.0	0.00630542409953171	0.3786843190587658	0.2000000353107182	0.27669408754405134	75458006448832.5	79229127095443.66	0.0027143368374022542	0.0018710559137669457	7.511637584516638e-06	-7852361.1061372375	0.07999969636606431
Initial_000000001	79488000.0	5.0	5.0	0.006428535104902299	0.3906810216225925	0.20000007869506428	0.28010980991907186	73668398245276.8	77307434049980.81	0.002714337800619495	0.0019168348875214097	7.702126103841204e-06	-7852243.4176338855	0.07999970254149241
Initial_000000001	82944000.0	5.0	5.0	0.006552472782111383	0.40243637081402817	0.2000001756981013	0.2835588667891918	71924941697026.25	75437041730897.53	0.002714339953577138	0.0019636263009505345	7.896748395085269e-06	-7852128.095755118	0.07999970847564881
Initial_000000001	86400000.0	5.0	5.0	0.006677270641067308	0.4139595582229698	0.20000039283093374	0.28704137075497316	70226439395160.305	73616517444660.92	0.0027143447715668938	0.0020114479606995433	8.095574618855517e-06	-7852015.04902649	0.07999971418175714
Initial_000000001	89856000.0	5.0	5.0	0.006802958908717087	0.4252591870854387	0.200000879258289	0.29055738087011274	68571748218515.79	71844489256122.08	0.0027143555631455314	0.0020603171741408765	8.29867236452254e-06	-7851904.190123645	0.07999971966848302
Initial_000000001	93312000.0	5.0	5.0	0.006929563214837087	0.43634333103474465	0.2000019694274823	0.29410683930516185	66959806648853.945	70119666059622.83	0.0027143797475444277	0.002110249823013208	8.506102310266858e-06	-7851795.433282382	0.07999972493629184
